"","subject","race","outcome"
"545",545,"Black","Accepted"
"546",546,"Black","Accepted"
"547",547,"Black","Accepted"
"548",548,"Black","Accepted"
"549",549,"Black","Accepted"
"550",550,"Black","Accepted"
"551",551,"Black","Accepted"
"552",552,"Black","Accepted"
"553",553,"Black","Accepted"
"554",554,"Black","Accepted"
"555",555,"Black","Accepted"
"556",556,"Black","Accepted"
"557",557,"Black","Accepted"
"558",558,"Black","Accepted"
"559",559,"Black","Accepted"
"560",560,"Black","Accepted"
"561",561,"Black","Accepted"
"562",562,"Black","Accepted"
"563",563,"Black","Accepted"
"564",564,"Black","Accepted"
"565",565,"Black","Accepted"
"566",566,"Black","Accepted"
"567",567,"Black","Accepted"
"568",568,"Black","Accepted"
"569",569,"Black","Accepted"
"570",570,"Black","Accepted"
"571",571,"Black","Accepted"
"572",572,"Black","Accepted"
"573",573,"Black","Accepted"
"574",574,"Black","Accepted"
"575",575,"Black","Accepted"
"576",576,"Black","Accepted"
"577",577,"Black","Accepted"
"578",578,"Black","Accepted"
"579",579,"Black","Accepted"
"580",580,"Black","Accepted"
"581",581,"Black","Accepted"
"582",582,"Black","Accepted"
"583",583,"Black","Accepted"
"584",584,"Black","Accepted"
"585",585,"Black","Accepted"
"586",586,"Black","Accepted"
"587",587,"Black","Accepted"
"588",588,"Black","Accepted"
"589",589,"Black","Accepted"
"590",590,"Black","Accepted"
"591",591,"Black","Accepted"
"592",592,"Black","Accepted"
"593",593,"Black","Accepted"
"594",594,"Black","Accepted"
"595",595,"Black","Accepted"
"596",596,"Black","Accepted"
"597",597,"Black","Accepted"
"598",598,"Black","Accepted"
"599",599,"Black","Accepted"
"600",600,"Black","Accepted"
"601",601,"Black","Accepted"
"602",602,"Black","Accepted"
"603",603,"Black","Accepted"
"604",604,"Black","Accepted"
"605",605,"Black","Accepted"
"606",606,"Black","Accepted"
"607",607,"Black","Accepted"
"608",608,"Black","Accepted"
"609",609,"Black","Accepted"
"610",610,"Black","Accepted"
"611",611,"Black","Accepted"
"612",612,"Black","Accepted"
"613",613,"Black","Accepted"
"614",614,"Black","Accepted"
"615",615,"Black","Accepted"
"616",616,"Black","Accepted"
"617",617,"Black","Accepted"
"618",618,"Black","Accepted"
"619",619,"Black","Accepted"
"620",620,"Black","Accepted"
"621",621,"Black","Accepted"
"622",622,"Black","Accepted"
"623",623,"Black","Accepted"
"624",624,"Black","Accepted"
"625",625,"Black","Accepted"
"626",626,"Black","Accepted"
"627",627,"Black","Accepted"
"628",628,"Black","Accepted"
"629",629,"Black","Accepted"
"630",630,"Black","Accepted"
"631",631,"Black","Accepted"
"632",632,"Black","Accepted"
"633",633,"Black","Accepted"
"634",634,"Black","Accepted"
"635",635,"Black","Accepted"
"636",636,"Black","Accepted"
"637",637,"Black","Accepted"
"638",638,"Black","Accepted"
"639",639,"Black","Accepted"
"640",640,"Black","Accepted"
"641",641,"Black","Accepted"
"642",642,"Black","Accepted"
"643",643,"Black","Accepted"
"644",644,"Black","Accepted"
"645",645,"Black","Accepted"
"646",646,"Black","Accepted"
"647",647,"Black","Accepted"
"648",648,"Black","Accepted"
"649",649,"Black","Accepted"
"650",650,"Black","Accepted"
"651",651,"Black","Accepted"
"652",652,"Black","Accepted"
"653",653,"Black","Accepted"
"654",654,"Black","Accepted"
"655",655,"Black","Accepted"
"656",656,"Black","Accepted"
"657",657,"Black","Accepted"
"658",658,"Black","Accepted"
"659",659,"Black","Accepted"
"660",660,"Black","Accepted"
"661",661,"Black","Accepted"
"662",662,"Black","Accepted"
"663",663,"Black","Accepted"
"664",664,"Black","Accepted"
"665",665,"Black","Accepted"
"666",666,"Black","Accepted"
"667",667,"Black","Accepted"
"668",668,"Black","Accepted"
"669",669,"Black","Accepted"
"670",670,"Black","Accepted"
"671",671,"Black","Accepted"
"672",672,"Black","Accepted"
"673",673,"Black","Accepted"
"674",674,"Black","Accepted"
"675",675,"Black","Accepted"
"676",676,"Black","Accepted"
"677",677,"Black","Accepted"
"678",678,"Black","Accepted"
"679",679,"Black","Accepted"
"680",680,"Black","Accepted"
"681",681,"Black","Accepted"
"682",682,"Black","Accepted"
"683",683,"Black","Accepted"
"684",684,"Black","Accepted"
"685",685,"Black","Accepted"
"686",686,"Black","Accepted"
"687",687,"Black","Accepted"
"688",688,"Black","Accepted"
"689",689,"Black","Accepted"
"690",690,"Black","Accepted"
"691",691,"Black","Accepted"
"692",692,"Black","Accepted"
"693",693,"Black","Accepted"
"694",694,"Black","Accepted"
"695",695,"Black","Accepted"
"696",696,"Black","Accepted"
"697",697,"Black","Accepted"
"698",698,"Black","Accepted"
"699",699,"Black","Accepted"
"700",700,"Black","Accepted"
"701",701,"Black","Accepted"
"702",702,"Black","Accepted"
"703",703,"Black","Accepted"
"704",704,"Black","Accepted"
"705",705,"Black","Accepted"
"706",706,"Black","Accepted"
"707",707,"Black","Accepted"
"708",708,"Black","Accepted"
"709",709,"Black","Accepted"
"710",710,"Black","Accepted"
"711",711,"Black","Accepted"
"712",712,"Black","Accepted"
"713",713,"Black","Accepted"
"714",714,"Black","Accepted"
"715",715,"Black","Accepted"
"716",716,"Black","Accepted"
"717",717,"Black","Accepted"
"718",718,"Black","Accepted"
"719",719,"Black","Accepted"
"720",720,"Black","Accepted"
"721",721,"Black","Accepted"
"722",722,"Black","Accepted"
"723",723,"Black","Accepted"
"724",724,"Black","Accepted"
"725",725,"Black","Accepted"
"726",726,"Black","Accepted"
"727",727,"Black","Accepted"
"728",728,"Black","Accepted"
"729",729,"Black","Accepted"
"730",730,"Black","Accepted"
"731",731,"Black","Accepted"
"732",732,"Black","Accepted"
"733",733,"Black","Accepted"
"734",734,"Black","Accepted"
"735",735,"Black","Accepted"
"736",736,"Black","Accepted"
"737",737,"Black","Accepted"
"738",738,"Black","Accepted"
"739",739,"Black","Accepted"
"740",740,"Black","Accepted"
"741",741,"Black","Accepted"
"742",742,"Black","Accepted"
"743",743,"Black","Accepted"
"744",744,"Black","Accepted"
"745",745,"Black","Accepted"
"746",746,"Black","Accepted"
"747",747,"Black","Accepted"
"748",748,"Black","Accepted"
"749",749,"Black","Accepted"
"750",750,"Black","Accepted"
"751",751,"Black","Accepted"
"752",752,"Black","Accepted"
"753",753,"Black","Accepted"
"754",754,"Black","Accepted"
"755",755,"Black","Accepted"
"756",756,"Black","Accepted"
"757",757,"Black","Accepted"
"758",758,"Black","Accepted"
"759",759,"Black","Accepted"
"760",760,"Black","Accepted"
"761",761,"Black","Accepted"
"762",762,"Black","Accepted"
"763",763,"Black","Accepted"
"764",764,"Black","Accepted"
"765",765,"Black","Accepted"
"766",766,"Black","Accepted"
"767",767,"Black","Accepted"
"768",768,"Black","Accepted"
"769",769,"Black","Accepted"
"770",770,"Black","Accepted"
"771",771,"Black","Accepted"
"772",772,"Black","Accepted"
"773",773,"Black","Accepted"
"774",774,"Black","Accepted"
"775",775,"Black","Accepted"
"776",776,"Black","Accepted"
"777",777,"Black","Accepted"
"778",778,"Black","Accepted"
"779",779,"Black","Accepted"
"780",780,"Black","Accepted"
"781",781,"Black","Accepted"
"782",782,"Black","Accepted"
"783",783,"Black","Accepted"
"784",784,"Black","Accepted"
"785",785,"Black","Accepted"
"786",786,"Black","Accepted"
"787",787,"Black","Accepted"
"788",788,"Black","Accepted"
"789",789,"Black","Accepted"
"790",790,"Black","Accepted"
"791",791,"Black","Accepted"
"792",792,"Black","Accepted"
"793",793,"Black","Accepted"
"794",794,"Black","Accepted"
"795",795,"Black","Accepted"
"796",796,"Black","Accepted"
"797",797,"Black","Accepted"
"798",798,"Black","Accepted"
"799",799,"Black","Accepted"
"800",800,"Black","Accepted"
"801",801,"Black","Accepted"
"802",802,"Black","Accepted"
"803",803,"Black","Accepted"
"804",804,"Black","Accepted"
"805",805,"Black","Accepted"
"806",806,"Black","Accepted"
"807",807,"Black","Accepted"
"808",808,"Black","Accepted"
"809",809,"Black","Accepted"
"810",810,"Black","Accepted"
"811",811,"Black","Accepted"
"812",812,"Black","Accepted"
"813",813,"Black","Accepted"
"814",814,"Black","Accepted"
"815",815,"Black","Accepted"
"816",816,"Black","Accepted"
"817",817,"Black","Accepted"
"818",818,"Black","Accepted"
"819",819,"Black","Accepted"
"820",820,"Black","Accepted"
"821",821,"Black","Accepted"
"822",822,"Black","Accepted"
"823",823,"Black","Accepted"
"824",824,"Black","Accepted"
"825",825,"Black","Accepted"
"826",826,"Black","Accepted"
"827",827,"Black","Accepted"
"828",828,"Black","Accepted"
"829",829,"Black","Accepted"
"830",830,"Black","Accepted"
"831",831,"Black","Accepted"
"832",832,"Black","Accepted"
"833",833,"Black","Accepted"
"834",834,"Black","Accepted"
"835",835,"Black","Accepted"
"836",836,"Black","Accepted"
"837",837,"Black","Accepted"
"838",838,"Black","Accepted"
"839",839,"Black","Accepted"
"840",840,"Black","Accepted"
"841",841,"Black","Accepted"
"842",842,"Black","Accepted"
"843",843,"Black","Accepted"
"844",844,"Black","Accepted"
"845",845,"Black","Accepted"
"846",846,"Black","Accepted"
"847",847,"Black","Accepted"
"848",848,"Black","Accepted"
"849",849,"Black","Accepted"
"850",850,"Black","Accepted"
"851",851,"Black","Accepted"
"852",852,"Black","Accepted"
"853",853,"Black","Accepted"
"854",854,"Black","Accepted"
"855",855,"Black","Accepted"
"856",856,"Black","Accepted"
"857",857,"Black","Accepted"
"858",858,"Black","Accepted"
"859",859,"Black","Accepted"
"860",860,"Black","Accepted"
"861",861,"Black","Accepted"
"862",862,"Black","Accepted"
"863",863,"Black","Accepted"
"864",864,"Black","Accepted"
"865",865,"Black","Accepted"
"866",866,"Black","Accepted"
"867",867,"Black","Accepted"
"868",868,"Black","Accepted"
"869",869,"Black","Accepted"
"870",870,"Black","Accepted"
"871",871,"Black","Accepted"
"872",872,"Black","Accepted"
"873",873,"Black","Accepted"
"874",874,"Black","Accepted"
"875",875,"Black","Accepted"
"876",876,"Black","Accepted"
"877",877,"Black","Accepted"
"878",878,"Black","Accepted"
"879",879,"Black","Accepted"
"880",880,"Black","Accepted"
"881",881,"Black","Accepted"
"882",882,"Black","Accepted"
"883",883,"Black","Accepted"
"884",884,"Black","Accepted"
"885",885,"Black","Accepted"
"886",886,"Black","Accepted"
"887",887,"Black","Accepted"
"888",888,"Black","Accepted"
"889",889,"Black","Accepted"
"890",890,"Black","Accepted"
"891",891,"Black","Accepted"
"892",892,"Black","Accepted"
"893",893,"Black","Accepted"
"894",894,"Black","Accepted"
"895",895,"Black","Accepted"
"896",896,"Black","Accepted"
"897",897,"Black","Accepted"
"898",898,"Black","Accepted"
"899",899,"Black","Accepted"
"900",900,"Black","Accepted"
"901",901,"Black","Accepted"
"902",902,"Black","Accepted"
"903",903,"Black","Accepted"
"904",904,"Black","Accepted"
"905",905,"Black","Accepted"
"906",906,"Black","Accepted"
"907",907,"Black","Accepted"
"908",908,"Black","Accepted"
"909",909,"Black","Accepted"
"910",910,"Black","Accepted"
"911",911,"Black","Accepted"
"912",912,"Black","Accepted"
"913",913,"Black","Accepted"
"914",914,"Black","Accepted"
"915",915,"Black","Accepted"
"916",916,"Black","Accepted"
"917",917,"Black","Accepted"
"918",918,"Black","Accepted"
"919",919,"Black","Accepted"
"920",920,"Black","Accepted"
"921",921,"Black","Accepted"
"922",922,"Black","Accepted"
"923",923,"Black","Accepted"
"924",924,"Black","Accepted"
"925",925,"Black","Accepted"
"926",926,"Black","Accepted"
"927",927,"Black","Accepted"
"928",928,"Black","Accepted"
"929",929,"Black","Accepted"
"930",930,"Black","Accepted"
"931",931,"Black","Accepted"
