Timestamp,What is your gender?,What is your height (in inches)?
1/26/2016 15:38:25,Female,5'2
1/26/2016 16:20:24,Male,74
1/26/2016 16:42:11,Male,5'11
1/26/2016 16:46:16,Female,70
1/26/2016 17:03:28,Male,64
1/26/2016 17:38:42,Male,73
1/26/2016 18:01:04,Male,70
1/26/2016 18:34:20,Male,66
1/26/2016 18:34:39,Male,66
1/26/2016 18:55:43,Male,5.8
1/26/2016 18:57:44,Female,62
1/26/2016 19:13:39,Female,66
1/26/2016 19:18:18,Female,64
1/26/2016 19:55:26,Male,67
1/26/2016 20:03:11,Male,71
1/26/2016 20:14:13,Male,78
1/26/2016 21:17:39,Male,69
1/26/2016 21:25:54,Female,5.7
1/26/2016 21:38:49,Male,70
1/26/2016 21:46:40,Female,65
1/26/2016 22:42:10,Male,70
1/26/2016 23:08:56,Male,167
1/26/2016 23:20:11,Male,71
1/27/2016 1:38:01,Male,68
1/27/2016 1:42:15,Female,67
1/27/2016 3:15:06,Male,168
1/27/2016 6:29:41,Female,64
1/27/2016 7:42:10,Male,68
1/27/2016 8:27:52,Female,60
1/27/2016 9:34:14,Female,64
1/27/2016 11:48:40,Male,73.2
1/27/2016 16:10:21,Male,6
1/27/2016 18:39:40,Male,71
1/27/2016 20:42:03,Female,67
