Saudi Arabia	Asia
Singapore	Asia
South Korea	Asia
Sri Lanka	Asia
Syria	Asia
Taiwan	Asia
Tajikistan	Asia
Thailand	Asia
Timor-Leste	Asia
Turkey	Asia
Turkmenistan	Asia
United Arab Emirates	Asia
Uzbekistan	Asia
Vietnam	Asia
Yemen	Asia
Myanmar	Asia
Lao	Asia
United Korea (former)	Asia
South Yemen (former)	Asia
North Yemen (former)	Asia
Albania	Europe
Andorra	Europe
Austria	Europe
Belarus	Europe
Belgium	Europe
Bosnia and Herzegovina	Europe
Bulgaria	Europe
Croatia	Europe
Cyprus	Europe
Czech Republic	Europe
Denmark	Europe
East Germany	Europe
Estonia	Europe
Faroe Islands	Europe
Finland	Europe
France	Europe
Germany	Europe
Gibraltar	Europe
Greece	Europe
Guernsey	Europe
Hungary	Europe
Iceland	Europe
Ireland	Europe
Isle of Man	Europe
Italy	Europe
Jersey	Europe
Latvia	Europe
Liechtenstein	Europe
Lithuania	Europe
Luxembourg	Europe
Macedonia	Europe
Malta	Europe
Metropolitan France	Europe
Moldova	Europe
Monaco	Europe
Montenegro	Europe
Netherlands	Europe
Norway	Europe
Poland	Europe
Portugal	Europe
Romania	Europe
Russia	Europe
San Marino	Europe
Serbia	Europe
Serbia and Montenegro	Europe
Slovakia	Europe
Slovenia	Europe
Spain	Europe
Svalbard and Jan Mayen	Europe
Sweden	Europe
Switzerland	Europe
Ukraine	Europe
USSR	Europe
United Kingdom	Europe
Vatican City	Europe
Åland Islands	Europe
Åland	Europe
West Germany	Europe
Yugoslavia	Europe
Serbia excluding Kosova	Europe
Serbia excluding Kosovo	Europe
Slovak Republic	Europe
Svalbard	Europe
Kosovo	Europe
Kyrgyz Republic	Europe
Czechoslovakia	Europe
Macedonia	Europe
Macedonia, FYR	Europe
Channel Islands	Europe
Faeroe Islands	Europe
Holy See	Europe
Akrotiri and Dhekelia	Europe
American Samoa	Oceania
Antarctica	Oceania
Australia	Oceania
Bouvet Island	Oceania
British Indian Ocean Territory	Oceania
Christmas Island	Oceania
Cocos [Keeling] Islands	Oceania
Cook Islands	Oceania
Fiji	Oceania
French Polynesia	Oceania
French Southern Territories	Oceania
Guam	Oceania
Heard Island and McDonald Islands	Oceania
Kiribati	Oceania
Marshall Islands	Oceania
Micronesia	Oceania
Nauru	Oceania
New Caledonia	Oceania
New Zealand	Oceania
Niue	Oceania
Norfolk Island	Oceania
Northern Mariana Islands	Oceania
Palau	Oceania
Papua New Guinea	Oceania
Pitcairn Islands	Oceania
Samoa	Oceania
Solomon Islands	Oceania
South Georgia and the South Sandwich Islands	Oceania
Tokelau	Oceania
Tonga	Oceania
Tuvalu	Oceania
U.S. Minor Outlying Islands	Oceania
Vanuatu	Oceania
Wallis et Futuna	Oceania
Micronesia, Fed. Sts.	Oceania
Cook Is	Oceania
